new_time,dla_total_power_kwh,dla_volume_out_m3_per_m,dla_master_ae1_pressure_bar,dla_volume_out_m3,ofen_abwaerme_nestle_5893_mw,ofen_abwaerme_energievernichtung_6004/05_mw,ofen_abwaerme_heizkessel_6300_mw,ofen_abwaerme_energievernichtung_6506-9_mw,ofen_zuschlaege_kg,ofen_metall_kg,ofen_g_koks_kg,ofen_f_koks_kg,pl2_stromverbrauch_kwh,pl2_kasten_anzahl,pl2_gießgewicht_kg,pl2_volume_542000_m3
2023-01-01 00:00:00,0.16662165811504187,,,,0.0,0.13663434419846152,0.04504926501740168,0.06876927896457316,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15535279551977776,0.0,0.0,0.08653039962152098
2023-01-01 01:00:00,0.166351606805293,,,,0.0,0.14420123971899124,0.025176468676391863,0.06924104160514122,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.1608479458599357,0.0,0.0,0.07879785659171805
2023-01-01 02:00:00,0.16203078584931138,,,,0.0,0.09023333103160114,0.043899071016957385,0.07413887036829456,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.14042407749301844,0.0,0.0,0.07532043654166523
2023-01-01 03:00:00,0.1698622738320281,,,,0.0,0.250681884878285,0.0,0.06078853620142861,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.11777451751179806,0.0,0.0,0.07547682997314112
2023-01-01 04:00:00,0.16176073453956252,,,,0.0,0.19792965350210212,0.01405792667209698,0.06526666096508561,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.1175192324671722,0.0,0.0,0.07649678713494033
2023-01-01 05:00:00,0.16770186335403728,,,,0.0,0.1210947108182917,0.03667840868083485,0.07413343943006966,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.11723626270446388,0.0,0.0,0.0752490395403393
2023-01-01 06:00:00,0.1658115041857953,,,,0.0,0.05380341095868295,0.025304268009774564,0.06378313184661581,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.116703864279801,0.0,0.0,0.07769693672865739
2023-01-01 07:00:00,0.1658115041857953,,,,0.0,0.15139003849227017,0.0,0.06869900845582318,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.11600722094112963,0.0,0.0,0.07470612135929634
2023-01-01 08:00:00,0.1679719146637861,,,,0.0,0.060685494825586356,0.05648730535515332,0.08053981152062085,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.1168494752489463,0.0,0.0,0.074846797418115
2023-01-01 09:00:00,0.17283283823926546,,,,0.0,0.11380905470615732,0.014696923339010478,0.07242183459816727,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.11707814037233902,0.0,0.0,0.07647638799170434
2023-01-01 10:00:00,0.17391304347826086,,,,0.0,0.1423012552194643,0.02773245534404586,0.07054007373327681,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.11702729632278369,0.0,0.0,0.07425288137898207
2023-01-01 11:00:00,0.17391304347826086,,,,0.0,0.160600397903952,0.0038978796681723446,0.06794725999144383,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.12179252842272878,0.0,0.0,0.07362050793866656
2023-01-01 12:00:00,0.1709424790710235,,,,0.0007240682127831582,0.19876387096401504,0.030032843344934453,0.05972350461228572,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.17113894120945675,0.0,0.0,0.036330874103287655
2023-01-01 13:00:00,0.16932217121253038,,,,0.013920060471609687,-0.060737622907262034,0.05591220835493117,0.07748756227451281,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15941339830468154,0.0,0.0,0.07570122054873696
2023-01-01 14:00:00,0.166351606805293,,,,0.0012019724408898255,0.008477959864138645,0.0,0.068919310455498,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15518855060576928,0.0,0.0,0.0731921259307109
2023-01-01 15:00:00,0.1652714015662976,,,,0.0006972683458900953,-0.022725993904467206,0.01450522433893643,0.06495842423896121,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15330918416670938,0.0,0.0,0.07505524767959744
2023-01-01 16:00:00,0.1601404266810694,,,,9.202769971387837e-05,0.021955270280454596,0.07265392102806484,0.06428546430733907,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.1534654431043479,0.0,0.0,0.0734369156495427
2023-01-01 17:00:00,0.16743181204428842,,,,0.001699560825491392,0.3362195534722452,0.03463361934671165,0.05107503818361409,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15518109702782404,0.0,0.0,0.07530683711284124
2023-01-01 18:00:00,0.16365109370780448,,,,0.0008285562673560578,0.20271181645298703,0.019169900007404973,0.055319655218703925,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.15243019436759098,0.0,0.0,0.07424650664672083
2023-01-01 19:00:00,0.17067242776127464,,,,0.0008848680106790669,0.14192357885996892,0.014824722672393178,0.07233053833965199,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.1211805364335788,0.0,0.0,0.06038783871077415
2023-01-01 20:00:00,0.18417499324871725,,,,0.00023089510595972158,0.16935673853974895,0.1186756188925983,0.06154582495178231,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.28066580852558987,0.0,0.0,0.08404447013225444
2023-01-01 21:00:00,0.20334863624088576,,,,2.6105855758464452e-05,0.02277660859022326,0.23593366442104724,0.08888995558480066,0.0023886105898113857,0.0,0.0,0.0048542460280244296,0.3157042798487153,0.0,0.0,0.0818005643762962
2023-01-01 22:00:00,0.20361868755063461,,,,0.00032744201937045424,0.15943626013156284,0.058118663845783486,0.07683968050368432,0.0644582300780301,0.0,0.0,0.13099502642432392,0.39292521075630515,0.0,0.0,0.08382007955665861
2023-01-01 23:00:00,0.20469889278963002,,,,0.0004176936921354313,0.07592274324947648,0.01399402700540563,0.06795808218994719,0.028816951240113,0.010107154845526194,0.012184447347815326,0.0344841653403212,0.3307038068659548,0.0,0.0,0.08690035018529221
2023-01-02 00:00:00,0.19659735349716445,,,,0.23762344111063222,-4.608456594582621,0.39413314415224626,0.1460639065924625,0.013092218420249421,0.01116812690113392,0.013463477732392625,0.0,0.29773104143052126,0.0,0.0,0.08670995818175636
2023-01-02 01:00:00,0.19200648123143396,,,,0.17293906475634768,-4.84381488334826,0.4241020878304893,0.2306520451687345,0.331230348912582,0.35670283773847433,0.0037959527495495873,0.42879366088148646,0.38901634152243036,0.0,0.0,0.08506442729405364
2023-01-02 02:00:00,0.19632730218741562,,,,0.1707898842717369,-1.503245623448849,0.4518345431745352,0.11940383178826784,0.6182445816914232,0.7256206283414749,0.0,0.8181082076598881,0.4812982914653082,0.08888888888888889,0.0,0.1379254071329004
2023-01-02 03:00:00,0.19416689170942478,,,,0.16593756237708848,-5.063988766387086,0.35317345780309095,0.23731706386978318,0.03545621999818407,0.03607404145053403,0.0,0.045882251698315155,0.5137588896162162,0.0,0.0,0.11137932206847312
2023-01-02 04:00:00,0.2133405347015933,,,,0.16473427917400066,-4.2592152628658635,0.45419883084211515,0.11010571927939748,0.13050721365342385,0.16619073192902312,0.0,0.17089260962647115,0.5352054953569108,0.03333333333333333,0.0,0.15020569136096282
